COUNTRY,REGION,E-WASTE GENERATED (MILLION KG),E-WASTE GENERATED (KG/CAPITA),E-WASTE DOCUMENTED AS FORMALLY COLLECTED AND RECYCLED (MILLION KG),"REFERENCE FOR
E-WASTE COLLECTION AND RECYCLING DATA","NATIONAL E-WASTE
LEGISLATION/ POLICY OR REGULATION
IN PLACE",EPRFOR E-WASTE,COLLECTION TARGET IN PLACE,RECYCLING TARGETS IN PLACE
Iceland,Europe,8,"22,4","4,8","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
India,Asia,4137,"2,9","59,6","Communication with Assocham India in the context of this report: Forti V., Balde C.P., Kuehr R., Bel G. The Global E-waste Monitor 2020: Quantities, flows and the circular economy potential. United Nations University (UNU)/United Nations Institute for Training and Research (UNITAR) -  co-hosted SCYCLE Programme, International Telecommunication Union (ITU) & International Solid Waste Assa- ciation (ISWA), Bonn/Geneva/Rotterdam. https://www.scycle.info/global-e-waste-monitor-2020/",Yes,Yes,Yes,No
Indonesia,Asia,1886,"6,9",N/A,,No,No,No,No
Iran (Islamic Republic of),Asia,817,"9,3",N/A,,Yes,No,No,No
Iraq,Asia,267,"6,1",N/A,,No,No,No,No
Ireland,Europe,103,"20,6","67,4","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union.
https://ec.europa.eu/eurostat/data browser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
Israel,Asia,148,"16,5","72,4","OECD Statistics, 2022. Waste from electrical and electronic
equipment (WEEE -  e-waste). https://stats.oecd.org/lndex.aspx?- DataSetCode=EWASTE",Yes,Yes,No,No
Italy,Europe,1124,19,"461,6","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
Jamaica,Americas,21,"7,4","0,1","Communication with National Solid Waste Management Authority in the context of this report Forti V., Balde C.P., Kuehr R., Bel G. The Global E-waste Monitor 2020: Quantities, flows and the circular economy potential. United Nations University (UNU)/ United Nations Institute for Training and Research (UNITAR) -
co-hosted SCYCLE Programme, International Telecommunication Union (ITU) & International Solid Waste Association (ISWA), Bonn/ Geneva/Rotterdam. https://www.scycle.info/global-e-waste-mo-
nitor-2020/",No,No,No,No
Japan,Asia,2638,"21,2","613,4","OECD Statistics, 2022. Waste from electrical and electronic equipment (WEEE -  e-waste). https://stats.oecd.org/lndex.aspx?- DataSetCode=EWASTE",Yes,No,No,Yes
Jordan,Asia,69,"6,1","1,6","Communication with National Statistics Office in the context of this report Forti V., Balde C.P., Kuehr R., Bel G. The Global E-waste Monitor 2020: Quantities, flows and the circular economy potential. United Nations University (UNU)/United Nations Institute for Training and Research (UNITAR) -  co-hosted SCYCLE Programme, International Telecommunication Union (ITU) & Inter-
national Solid Waste Association (ISWA), Bonn/Geneva/Rotterdam. https://www.scycle.info/global-e-waste-monitor-2020/",Yes,No,No,No
Kazakhstan,Asia,196,"10,2","12,4",UNSD Questionnaire (UNSD 2019).,Yes,Yes,Yes,No
Kenya,Africa,88,"1,6",N/A,,No,No,No,No
Kiribati,Oceania,0,"1,3",N/A,,No,No,No,No
Kuwait,Asia,71,"16,7",N/A,,No,No,No,No
Kyrgyzstan,Asia,14,"2,2",N/A,,No,No,No,No
"Lao People's
Democratic Republic",Asia,27,"3,6",N/A,,No,No,No,No
Latvia,Europe,22,"11,9","11,6","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/data- browser/view/env_waseleeos/default/table?lang=en",Yes,Yes,Yes,Yes
Lebanon,Asia,60,"10,7","0,1","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",No,No,No,No
Lesotho,Africa,3,"1,3",N/A,,No,No,No,No
Liberia,Africa,3,"0,6",N/A,,No,No,No,No
Libya,Africa,94,"13,8",N/A,,No,No,No,No
Lithuania,Europe,37,"13,4","16,7","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
Luxembourg,Europe,13,"20,9","6,8","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union.
https://ec.europa.eu/eurostat/data browser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
Madagascar,Africa,19,"0,6",N/A,,Yes,No,No,No
Malawi,Africa,11,"0,5",N/A,,No,No,No,No
Malaysia,Asia,411,"12,2",N/A,,Yes,No,No,No
Maldives,Asia,5,10,N/A,,No,No,No,No
Mali,Africa,20,"0,9",N/A,,No,No,No,No
Malta,Europe,8,"14,1","3,2","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union.
https://ec.europa.eu/eurostat/data browser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
Marshall Islands,Oceania,0,3,N/A,,No,No,No,No
Mauritania,Africa,12,"2,7",N/A,,No,No,No,No
Mauritius,Africa,16,"12,1","0,1","Business Mauritius, UNDP Mauritius (2021). Circular Economy: Optimising private sector investment in Mauritius. https://www. undp.org/sites/g/files/zskgke326/files/migration/mu/Circular-Eco- nomy--Optimising-private-sector-investment-in-Mauritius.pdf",No,No,No,No
Mexico,Americas,1499,"11,8","52,6","OECD Statistics, 2022. Waste from electrical and electronic equipment (WEEE -  e-waste). https://stats.oecd.org/lndex.aspx?DataSetCode=EWASTE",Yes,No,No,No
Micronesia (Federated States of),Oceania,0,"1,9",N/A,,No,No,No,No
Mongolia,Asia,20,"5,9",N/A,,No,No,No,No
Montenegro,Europe,8,13,"0,2","Communication with Western Balkans NGO in the context of this report: G. lattoni, I.C Nnorom, D. Toppenberg, R. Kuehr, C.P. Balde. Regional E-waste Monitor for the Western Balkans -  2023. lnterna- tional Telecommunication Union (ITU), United Nations Environment Programme (UNEP) and United Nations Institute for Training and Research (UNITAR) -  SCYCLE Programme. https://www.scycle.info/wp-content/uploads/2023/12/Regio-
nal-E-waste-Monitor-Balkan-2023.pdf",Yes,No,No,No
Morocco,Africa,177,"4,8",N/A,,No,No,No,No
Mozambique,Africa,20,"0,6",N/A,,No,No,No,No
Myanmar,Asia,76,"1,4",N/A,,No,No,No,No
Namibia,Africa,17,"6,8","0,03","Communication with Namigreen in the context of this report: Forti V., Balde C.P., Kuehr R., Bel G. The Global E-waste Monitor
2020: Quantities, flows and the circular economy potential. United Nations University (UNU)/United Nations Institute for Training and Research (UNITAR) -  co-hosted SCYCLE Programme, International Telecommunication Union (ITU) & International Solid Waste Assa- ciation (ISWA), Bonn/Geneva/Rotterdam. https://www.scycle.info/global-e-waste-monitor-2020/",No,No,No,No
Nauru,Oceania,0,"6,3",N/A,,No,No,No,No
Nepal,Asia,42,"1,4",N/A,,No,No,No,No
